TABLA DE MORTALIDAD:;;;COMMISSIONER'S STANDARD ORDINARY  1980  -  HOMBRES;;;;;;;
TASA ANUAL INTERÉS TÉCNICO:;;;4%;;;;;;;
x; q(x)*1000 ; l(x) ; d(x) ; D(x) ; N(x) ; S(x) ; C(x) ; M(x) ; R(x) ;q(x)
0;4,18;10.000.000;41.800;10.000.000;237.830.366;5.049.896.161;40.192;852.677;43.603.418;0,00418
1;1,07;9.958.200;10.655;9.575.192;227.830.366;4.812.065.795;9.851;812.485;42.750.741;0,00107
2;0,99;9.947.545;9.848;9.197.065;218.255.174;4.584.235.429;8.755;802.634;41.938.256;0,00099
3;0,98;9.937.697;9.739;8.834.576;209.058.109;4.365.980.255;8.325;793.879;41.135.622;0,00098
4;0,95;9.927.958;9.432;8.486.460;200.223.533;4.156.922.146;7.752;785.554;40.341.743;0,00095
5;0,9;9.918.526;8.927;8.152.305;191.737.073;3.956.698.613;7.055;777.802;39.556.189;0,0009
6;0,85;9.909.599;8.423;7.831.700;183.584.768;3.764.961.540;6.401;770.747;38.778.387;0,00085
7;0,8;9.901.176;7.921;7.524.080;175.753.068;3.581.376.772;5.788;764.346;38.007.640;0,0008
8;0,76;9.893.255;7.519;7.228.905;168.228.988;3.405.623.704;5.283;758.558;37.243.294;0,00076
9;0,74;9.885.736;7.315;6.945.587;161.000.083;3.237.394.716;4.942;753.275;36.484.736;0,00074
10;0,73;9.878.421;7.211;6.673.507;154.054.496;3.076.394.633;4.684;748.333;35.731.461;0,00073
11;0,77;9.871.210;7.601;6.412.150;147.380.989;2.922.340.137;4.748;743.649;34.983.128;0,00077
12;0,85;9.863.609;8.384;6.160.781;140.968.839;2.774.959.148;5.035;738.901;34.239.479;0,00085
13;0,99;9.855.225;9.757;5.918.793;134.808.058;2.633.990.309;5.634;733.866;33.500.578;0,00099
14;1,15;9.845.468;11.322;5.685.512;128.889.265;2.499.182.251;6.287;728.232;32.766.712;0,00115
15;1,33;9.834.146;13.079;5.460.552;123.203.753;2.370.292.986;6.983;721.945;32.038.480;0,00133
16;1,51;9.821.067;14.830;5.243.548;117.743.201;2.247.089.233;7.613;714.962;31.316.535;0,00151
17;1,67;9.806.237;16.376;5.034.260;112.499.653;2.129.346.032;8.084;707.349;30.601.573;0,00167
